Date,Groud_Truth,Prediction
2014-03-19,14.389240525720934,13.818345100795932
2014-04-01,10.744356431045539,12.80017539898571
2014-04-22,13.720047470910027,12.411295637612215
2014-05-08,12.882312955863194,11.742910685667065
2014-05-20,8.790941304555904,13.088343013240342
2014-06-02,11.577306361751814,13.678737519564331
2014-06-16,7.652142934770237,11.003111171160208
2014-06-30,10.540209384705586,12.673784980325431
2014-07-22,10.003908546028512,10.978875169347889
2014-08-05,20.465435045951786,8.715911424239957
2014-08-20,12.345446539742662,9.151659977729212
2014-09-02,15.278497209648664,13.470108956114794
2014-09-16,24.52636997071097,12.805839335391292
2014-09-29,29.13697331219855,13.011046787065185
2014-10-13,8.607010837536578,12.595889946015008
2014-10-27,3.3254476626971177,11.790938446776943
2014-11-19,6.176996844469187,11.571170484437532
2014-12-09,16.243624381188127,15.017685119477209
2015-01-15,29.662012855551506,15.87703806499083
2015-02-18,16.747788118267202,13.67416208977649
2015-03-09,20.785323644941247,14.041746856144025
2015-03-25,19.618201276307737,16.003376642594606
2015-04-13,24.313074140049014,13.326104301944513
2015-04-28,24.984005180620013,11.663366270647431
2015-05-13,14.257311067760543,12.393950257636087
2015-05-27,14.787915539262288,13.057992018108282
2015-06-08,15.994283139028898,10.909563160671242
2015-06-24,6.213838614566902,13.056969957356175
2015-07-06,8.987027173850045,11.517774187381486
2015-07-20,12.011106900107364,11.912607672171136
2015-08-03,10.43432614319275,12.598212563198404
2015-08-17,21.85230749944131,10.369500027964714
2015-08-31,30.184811048730406,11.622451525117627
2015-09-14,27.552086128869767,16.41719394355953
2015-09-29,35.66815524208712,12.643886820962829
2015-10-12,19.399536572951092,5.1313323179192825
2015-10-29,24.396723918230943,7.858505156402019
2015-11-17,42.95313854220458,6.039879864619886
2015-12-08,48.445748175324546,11.930787486469848
2016-01-20,35.01241997299742,13.85423174077299
2016-02-17,2.3983756093201203,15.999399367627463
2016-03-07,10.009831832589935,17.85929864732658
2016-03-22,20.999681013762835,16.018443058801513
2016-04-06,24.341657966156333,13.292914200580386
2016-04-19,4.451581570316214,13.985022906978026
2016-05-09,9.126650735705226,8.905158610401523
2016-05-24,11.948155361997811,11.654043007596487
2016-06-06,7.9660710260275485,13.129932919359414
2016-06-20,9.61791735618753,10.919570188579302
2016-07-06,8.962236374663538,11.078969863346417
2016-07-18,10.48976878937069,10.48169254834187
2016-08-03,5.315552320047878,12.641949869488238
2016-08-16,6.609368819413932,11.901090139642692
2016-09-07,9.741706815478016,13.566893304018402
2016-09-19,19.64157268783571,14.934596188968444
2016-10-03,22.504267032131292,12.237588622238464
2016-10-17,3.3676848792052536,8.81878875934254
2016-10-24,1.8499586651955928,8.384126476602967
2016-11-01,8.508420481381128,9.38282112811058
2016-11-08,20.065646952322627,10.836271073936148
2016-11-15,12.083492918822474,10.298145814873324
2016-11-28,17.365329459335086,10.822829635172328
2016-12-13,9.104933365065676,12.95889085538896
2017-01-10,12.991029336723244,13.522738270933731
2017-02-06,11.019650883409836,12.008753310358985
2017-03-06,6.739263694051251,10.468640997681996
2017-03-20,7.097267837580493,9.24779362144672
2017-04-03,3.628280251718812,9.255479049006825
2017-04-20,3.011993064758133,10.288421067530722
2017-05-03,7.6684643010220634,10.181372824001537
2017-05-15,8.431702348125393,12.960696528915365
2017-06-06,16.181265131052488,15.568681605373152
2017-06-22,12.051656924352779,12.037673131402672
2017-07-05,15.985938437684315,10.648960903691355
2017-07-17,18.247296070093213,11.83546527719709
2017-08-02,5.1721979789831565,10.869899470361007
2017-08-21,15.987860593407866,10.71910898216286
2017-09-05,15.376051286422484,6.985127965499446
2017-09-20,10.57238369779604,7.881513144465176
2017-10-02,21.33493846801923,5.580491805781245
2017-10-19,10.502897727227355,4.1836373826024715
2017-11-06,4.0332139799743345,1.2608143667028338
