Date,Groud_Truth,Prediction
2014-03-19,5.385243508828824,4.497896047895006
2014-04-01,2.192200539515069,4.1213527871501565
2014-04-22,2.105112148102024,2.6325246391801773
2014-05-08,0.509151940130111,2.723933081940098
2014-05-20,1.1003106279156367,3.5922249713886547
2014-06-02,1.7378122629680557,6.136475831770946
2014-06-16,2.3515509798212357,6.371468963012903
2014-06-30,1.1957197393745085,7.160286608626828
2014-07-22,1.834427862938041,7.233540330729044
2014-08-05,0.3421581719746861,5.690569436290277
2014-08-20,0.4725712084731434,5.965313615688606
2014-09-02,2.7490495676631834,6.559841226382348
2014-09-16,0.4110127175260904,4.709094439657418
2014-09-29,0.5210375755195971,4.991450422536156
2014-10-13,1.095215799288705,6.6576994958398235
2014-10-27,0.3246281401303491,4.803346662293416
2014-11-19,0.3877447248117547,3.533994145016445
2014-12-09,0.23958798048922544,4.1707559266137455
2015-01-15,0.7765831987100679,3.029827487095419
2015-02-18,6.776730823255082,4.725457872245526
2015-03-09,4.8120266611611315,3.1361698435591965
2015-03-25,1.24758335916949,4.773138412521748
2015-04-13,0.7149671500010119,5.508517578556388
2015-04-28,0.7758433172511081,3.6506730381493018
2015-05-13,0.7815568942923705,3.1590787362813924
2015-05-27,3.1493387782603897,5.3912213179213015
2015-06-08,0.9364262323464742,6.6483716863388285
2015-06-24,8.507196437993521,7.962681922237829
2015-07-06,5.320626569943672,7.820917355364683
2015-07-20,6.288151223574782,8.50661585907116
2015-08-03,2.6656405238707936,8.348587797616863
2015-08-17,19.862791279464023,7.314583422242832
2015-08-31,28.661183892171486,8.040933708974118
2015-09-14,0.17358389248593736,7.480341075038028
2015-09-29,1.6024894139509522,5.384960072796192
2015-10-12,0.2852759536983111,0.8280671020734651
2015-10-29,0.6957083211997672,4.337259976742994
2015-11-17,0.24573158124636,0.6831455601275405
2016-01-20,0.7235638129179885,1.7831184947284093
2016-02-17,1.3929816827112689,3.7227975092688492
2016-03-07,1.2759422015854904,3.8412978810274687
2016-03-22,0.6444610570670206,4.997674982687732
2016-04-06,0.5931853063116124,4.916122365462153
2016-04-19,0.9882075752972272,5.074454801061792
2016-05-09,2.3731878366809105,3.369491333700985
2016-05-24,0.6706439684539232,4.66785003509999
2016-06-06,1.2074882883965066,7.784831290239294
2016-06-20,3.784551163770969,6.243744747038759
2016-07-06,5.2817866489983984,8.284435128281155
2016-07-18,0.8203657442674089,7.17137537277012
2016-08-03,1.2419173997545792,7.533237620546009
2016-08-16,1.4777413526283725,7.290900949533173
2016-09-07,0.33994593628400305,5.672210392749529
2016-09-19,1.967766631205707,6.668339209012034
2016-10-03,0.21385676514428573,5.605862269191116
2016-10-17,0.31986465688201904,0
2016-10-24,0.18293895826462414,0.9495451173534519
2016-11-01,0.5570911805217129,1.2613254951637298
2016-11-08,1.5517236902654328,1.7175431736703537
2016-11-15,0.7143289164014357,2.1991966563109084
2016-11-28,0.4296746156365141,3.311555804263463
2016-12-13,0.540651666640378,3.5255876505390606
2017-01-10,2.4949453178259207,3.043812023281143
2017-02-06,9.096168082423807,5.277153745462877
2017-03-06,2.004735179531905,3.7546143119873765
2017-03-20,1.224204159032933,3.4670232860677554
2017-04-03,1.7445749785817524,5.347245330244318
2017-04-20,1.8583148635035864,5.085019026068769
2017-05-03,0.8200732669154588,0.018238649562894338
2017-05-15,1.730573982045566,4.060164957517372
2017-06-06,3.118837332488058,7.403227673526997
2017-06-22,4.302617966960547,6.87704346151248
2017-07-05,2.243825041382401,7.273391232802448
2017-07-17,8.698636851671145,7.987971385379199
2017-08-02,40.57604567747994,7.05253150504228
2017-08-21,4.4172625887407575,7.52323904846793
2017-09-05,0.688593158277704,1.7432275457980904
2017-09-20,2.022479324294931,2.3974441187173348
2017-10-02,2.2772042397845373,0
2017-10-19,1.4506102592889014,1.912231693960818
2017-11-06,1.3079816781427698,0.4362344808605627
