,Date,Groud_Truth,Prediction
0,2014-03-25,15.7528662604692,10.694209
1,2014-04-08,11.846154262569526,13.072792
2,2014-04-22,12.206985881120405,13.391702
3,2014-05-06,7.502418912574509,13.860938
4,2014-05-20,25.02975746540873,25.891298
5,2014-06-03,19.634303706139203,12.512751
6,2014-06-17,7.656245971585078,5.3335214
7,2014-07-01,8.350706194728845,14.312606
8,2014-07-15,17.516211439632244,18.289272
9,2014-07-29,15.638240450753443,9.216436
10,2014-08-12,9.700776804963494,7.213658
11,2014-08-26,11.53052808891682,13.470739
12,2014-09-09,9.240615981313132,8.559323
13,2014-09-23,5.8755079204426215,7.077283
14,2014-10-07,13.7923874544141,12.907758
15,2014-10-21,10.218250079895268,9.311986
16,2014-11-04,7.6192231939775805,9.011703
17,2014-11-18,15.249862365591213,15.870309
18,2014-12-02,22.37562773917796,23.915476
19,2014-12-16,21.84430921810188,20.203964
20,2014-12-30,13.694743248365029,14.723935
21,2015-01-13,5.545177278628181,16.603943
22,2015-01-27,17.6107115158086,16.049604
23,2015-02-10,33.04542912080856,23.911781
24,2015-02-24,31.67536212766589,23.551125
25,2015-03-10,9.801655733305402,11.548922
26,2015-03-24,12.663570157585696,6.356371
27,2015-04-07,12.724293906533012,7.8475595
28,2015-04-21,8.158429419671803,9.797244
29,2015-05-05,5.094262307957592,8.822475
30,2015-05-19,7.341100902013926,3.3395371
31,2015-06-02,12.486538812516612,13.4204445
32,2015-06-16,23.19806114617191,24.2383
33,2015-06-30,20.684331921449907,16.640469
34,2015-07-14,8.494466572473975,10.427819
35,2015-07-28,27.4808111628712,30.406172
36,2015-08-11,22.63282542393311,30.710787
37,2015-08-25,16.98111784102204,21.05865
38,2015-09-08,23.295905777810567,21.766249
39,2015-09-22,20.880552521919764,15.78984
40,2015-10-06,11.00864366816515,11.365649
41,2015-10-20,20.09678491820934,27.76285
42,2015-11-03,33.35513357917824,37.52551
43,2015-11-17,19.20778330478896,18.271692
44,2015-12-01,12.57237014424977,13.084952
45,2015-12-15,8.105808669232864,13.7834835
46,2015-12-29,5.808098879738244,3.6498313
47,2016-01-12,3.5103890902436232,3.6406608
48,2016-01-26,2.133763031175384,4.1459904
49,2016-02-23,3.4839102185377824,6.4099894
50,2016-03-08,7.429836871455966,11.602455
51,2016-03-22,14.63915804716388,15.906819
52,2016-04-05,13.30798295679124,13.456958
53,2016-04-19,33.786742937742126,28.138708
54,2016-05-03,28.6663122020031,28.888615
55,2016-05-17,21.834045245554748,23.399712
56,2016-05-31,28.843029980747595,19.448092
57,2016-06-14,30.809131895788624,26.195192
58,2016-06-28,38.48805558278866,33.161884
59,2016-07-12,35.02521572742387,30.428751
60,2016-07-26,12.733669785043151,16.478584
61,2016-08-09,9.362362763643029,18.24048
62,2016-08-23,9.515189327199613,11.843936
63,2016-09-06,4.830973413828711,4.3080487
64,2016-09-20,18.197960444866023,17.636234
65,2016-10-04,6.323667352021073,7.616655
66,2016-10-18,0.7954069733923358,0.0
67,2016-11-01,16.748448582963626,14.958659
68,2016-11-15,9.392568468164397,10.455725
69,2016-11-29,22.86831327457314,14.019302
70,2016-12-13,18.35213527002287,17.408337
71,2016-12-27,12.82564571580425,9.427016
72,2017-01-10,7.29915616158563,4.5081406
73,2017-01-24,22.50079464896804,24.932997
74,2017-02-07,35.955670896608865,36.125072
75,2017-02-21,26.702638027609023,27.9135
76,2017-03-07,18.2966694843986,16.975641
77,2017-03-21,20.14513557292001,22.269588
78,2017-04-04,12.4188253248193,15.674632
79,2017-04-18,8.221293697291415,8.547492
80,2017-05-02,2.5562813310938117,5.1435027
81,2017-05-16,5.599205649439137,5.981432
82,2017-05-30,13.408840704353109,19.687647
83,2017-06-13,11.424807528127982,10.454168
84,2017-06-27,4.7760281209807225,2.5131195
85,2017-07-11,14.536024723872169,9.67667
86,2017-07-25,13.979826445677109,15.344263
87,2017-08-08,6.714571398621541,8.809533
88,2017-08-22,11.04102847908146,8.04073
89,2017-09-05,23.843109322798338,16.579557
90,2017-09-19,26.2067615327012,28.41868
91,2017-10-03,9.274909135893443,15.344301
92,2017-10-17,9.451504184558043,9.636973
93,2017-10-31,14.04147503720464,13.710675
