date,South,West,WDIR,WSPD
2009/8/14,-1.560461182,-1.380218075,221.4925567,2.083276514
2009/8/15,-1.636243941,-1.451491853,221.5758374,2.187263778
2009/8/16,-0.702414179,-0.249918353,199.5855144,0.74555004
2009/8/17,0.559580042,-0.787739428,305.3885337,0.966262506
2009/8/18,0.529664362,-0.87004135,301.3322473,1.018585434
2009/8/19,0.3299761,-1.229029058,285.0286494,1.272555167
2009/8/20,2.314654987,-1.931570726,320.1551313,3.01472937
2009/8/21,1.724623375,-1.360084059,321.7397444,2.196395783
2009/8/22,-1.4542775,-0.674111394,204.8694667,1.602918968
2009/8/23,-0.823297628,-1.170968493,234.8892852,1.431428027
2009/8/24,1.573133031,-1.148206005,323.8748592,1.947594558
2009/8/25,1.733977785,-0.436005564,345.8856893,1.787954085
2009/8/26,1.029865652,-0.222428767,347.8125476,1.053611796
2009/8/27,1.05014073,-0.010936027,359.4033509,1.050197671
2009/8/28,0.45876988,-0.111163975,346.379253,0.472045795
2009/8/29,0.723272684,-0.221037516,343.0064576,0.756294228
2009/8/30,-0.337628241,-0.999347702,251.3325313,1.054840585
2009/8/31,-0.378941162,-1.111157523,251.1689402,1.173996357
2009/9/1,-0.453463656,-1.034863393,246.3375936,1.12985465
2009/9/2,0.210529581,-0.723432888,286.2257706,0.753443992
2009/9/3,0.788475049,-0.511148154,327.0456932,0.939662354
2009/9/4,-0.535166858,-0.736320489,233.9898811,0.910258989
2009/9/5,-0.337296512,-1.012819672,251.5808381,1.067507669
2009/9/6,-0.724407035,-1.102862122,236.7013781,1.319496272
2009/9/7,-1.907944222,-1.583036099,219.682757,2.479164062
2009/9/8,-2.752465004,-1.21372449,203.7955174,3.008187284
2009/9/9,0.170371782,-0.754739686,282.720505,0.773730275
2009/9/10,2.507902031,-1.338373773,331.9128228,2.842677779
2009/9/11,1.149474327,-0.974079359,319.7216289,1.506692346
2009/9/12,0.564211335,-1.671694155,288.6499867,1.764340041
2009/9/13,-0.632578118,-2.144818682,253.5674647,2.236157922
2009/9/14,0.017119545,-2.386913782,270.4109327,2.386975174
2009/9/15,-0.141581018,-1.848299245,265.6196572,1.853713916
2009/9/16,-0.31124665,-0.945392797,251.7771788,0.995310011
2009/9/17,0.177581452,-0.723024449,283.7992238,0.744512945
2009/9/18,-0.028739483,-0.537904468,266.9416745,0.538671676
2009/9/19,0.049147309,-1.001925877,272.8082697,1.00313056
2009/9/20,0.692084782,-1.061560849,303.1023472,1.26723825
2009/9/21,2.164754846,-1.147986666,332.062638,2.450313639
2009/9/22,2.717107049,-1.124449122,337.5182437,2.940587789
2009/9/23,1.132153144,0.113298705,5.714771522,1.137808129
2009/9/24,0.194608065,-0.127918974,326.6824457,0.2328853
2009/9/25,0.020746516,-0.31565677,273.7603522,0.316337816
2009/9/26,0.412061051,-0.232689926,330.546683,0.473221842
2009/9/27,0.688206766,-0.581379046,319.8097522,0.900905183
2009/9/28,0.428136188,-1.333093981,287.8049301,1.40015719
2009/9/29,0.137887432,-1.479185367,275.3256358,1.485598295
2009/9/30,0.604897373,-1.357671486,294.0148992,1.486328597
2009/10/1,0.914070829,-0.261016998,344.0630709,0.950607887
2009/10/2,-0.211451772,-0.313819316,236.0278704,0.378410379
2009/10/3,-0.932578689,-0.211500936,192.7780462,0.956261291
2009/10/4,-1.620579521,-3.760415115,246.686006,4.094752717
2009/10/5,-1.464164707,-2.074840208,234.7903033,2.539436981
2009/10/6,-0.817476313,0.220864071,164.8809225,0.846787139
2009/10/7,-1.052724102,-0.741300867,215.152208,1.287538353
2009/10/8,-0.595936357,-1.180918377,243.2227505,1.322765419
2009/10/9,0.259778146,-0.388110031,303.7960369,0.467026853
2009/10/10,1.646671404,-0.957580259,329.820937,1.904858699
2009/10/11,-0.805714622,-2.061833752,248.6556474,2.213669911
2009/10/12,-1.717102664,-0.089450755,182.982071,1.71943101
2009/10/13,-4.253579823,-0.226631185,183.0498415,4.259613011
2009/10/14,-1.386814841,0.50619553,159.9476221,1.476309357
2009/10/15,2.812930223,-0.658616952,346.8222022,2.889005492
2009/10/16,0.7195819,0.018296144,1.45649304,0.719814462
2009/10/17,0.282160475,-0.240013883,319.6145473,0.370433797
2009/10/18,-0.544824018,-0.741345916,233.6873869,0.920014662
2009/10/19,-1.45019037,-1.146958799,218.3405509,1.848936613
2009/10/20,-0.077743303,-2.541145256,268.2476507,2.54233421
2009/10/21,1.070273137,-0.203884001,349.2145423,1.089519745
2009/10/22,-0.278965253,-0.675850523,247.5710367,0.731160407
2009/10/23,0.438820241,-0.088963438,348.5395685,0.447747358
2009/10/24,-0.151973781,-0.175347886,229.0845695,0.232040753
2009/10/25,0.309709468,-0.190928666,328.3471359,0.363831981
2009/10/26,0.475246314,0.081205407,9.696493617,0.48213419
2009/10/27,-1.339244815,-0.442527979,198.2851555,1.410463642
2009/10/28,5.52134285,-1.798629448,341.9564924,5.806917836
2009/10/29,1.854878473,-1.047339536,330.5491671,2.130139492
2009/10/30,0.367459964,1.023039432,70.24249552,1.08703105
2009/10/31,0.758347824,0.230415601,16.9008242,0.79257982
2009/11/1,0.386913127,0.059431933,8.732684773,0.391451047
2009/11/2,0.343785603,-0.005295878,359.1174515,0.343826391
2009/11/3,0.620512118,-0.002807535,359.7407645,0.62051847
2009/11/4,0.745715651,-0.207782757,344.4302825,0.77412241
2009/11/5,-0.302275362,-0.615973015,243.8615085,0.686143681
2009/11/6,1.077562387,-0.020471024,358.9116526,1.077756819
2009/11/7,0.427689696,0.09141879,12.06542228,0.43735097
2009/11/8,-0.196838084,-0.450118454,246.3801039,0.491275741
2009/11/9,0.863131364,-0.123330644,351.8681956,0.871898044
2009/11/10,0.732859837,0.136487386,10.54986605,0.745461164
2009/11/11,0.288419533,0.055170054,10.82895711,0.293648705
2009/11/12,-0.82953711,-0.297276281,199.7158544,0.881195213
2009/11/13,-2.93370056,-2.020458914,214.5554407,3.56214166
2009/11/14,-0.867815948,-0.038474013,182.538506,0.868668389
2009/11/15,1.013725111,0.718049934,35.31101196,1.242269821
2009/11/16,0.548347949,0.413883499,37.04487052,0.687011662
2009/11/17,0.122916425,0.291174425,67.11343783,0.316055364
2009/11/18,-1.147377596,0.766434607,146.2575471,1.379817871
2009/11/19,0.712342967,0.688806013,44.03761745,0.990901724
2009/11/20,-0.120454302,-0.252779289,244.5212822,0.280011799
2009/11/21,-0.736929191,0.454429579,148.3398172,0.865777613
2009/11/22,0.595775315,0.035568135,3.416536383,0.59683609
2009/11/23,0.548045911,0.371233359,34.11278541,0.661942994
2009/11/24,0.134291716,0.279397463,64.32884574,0.309995496
2009/11/25,0.232788384,0.917915228,75.76949196,0.946973494
2009/11/26,0.736533414,0.293898818,21.75347498,0.793005665
2009/11/27,-0.893054926,-0.371338666,202.5778928,0.967181217
2009/11/28,-0.729144341,-7.205525754,264.2217726,7.24232372
2009/11/29,,,#DIV/0!,0
2009/11/30,,,#DIV/0!,0
2009/12/1,,,#DIV/0!,0
2009/12/2,,,#DIV/0!,0
2009/12/3,,,#DIV/0!,0
2009/12/4,,,#DIV/0!,0
2009/12/5,,,#DIV/0!,0
2009/12/6,,,#DIV/0!,0
2009/12/7,,,#DIV/0!,0
2009/12/8,,,#DIV/0!,0
2009/12/9,,,#DIV/0!,0
2009/12/10,,,#DIV/0!,0
2009/12/11,,,#DIV/0!,0
2009/12/12,,,#DIV/0!,0
2009/12/13,,,#DIV/0!,0
2009/12/14,,,#DIV/0!,0
2009/12/15,,,#DIV/0!,0
2009/12/16,,,#DIV/0!,0
2009/12/17,,,#DIV/0!,0
2009/12/18,,,#DIV/0!,0
2009/12/19,,,#DIV/0!,0
2009/12/20,,,#DIV/0!,0
2009/12/21,,,#DIV/0!,0
2009/12/22,,,#DIV/0!,0
2009/12/23,,,#DIV/0!,0
2009/12/24,,,#DIV/0!,0
2009/12/25,,,#DIV/0!,0
2009/12/26,,,#DIV/0!,0
2009/12/27,,,#DIV/0!,0
2009/12/28,,,#DIV/0!,0
2009/12/29,,,#DIV/0!,0
2009/12/30,,,#DIV/0!,0
2009/12/31,,,#DIV/0!,0
2010/1/1,,,#DIV/0!,0
2010/1/2,,,#DIV/0!,0
2010/1/3,,,#DIV/0!,0
2010/1/4,,,#DIV/0!,0
2010/1/5,,,#DIV/0!,0
2010/1/6,,,#DIV/0!,0
2010/1/7,,,#DIV/0!,0
2010/1/8,,,#DIV/0!,0
2010/1/9,,,#DIV/0!,0
2010/1/10,,,#DIV/0!,0
2010/1/11,,,#DIV/0!,0
2010/1/12,,,#DIV/0!,0
2010/1/13,,,#DIV/0!,0
2010/1/14,,,#DIV/0!,0
2010/1/15,,,#DIV/0!,0
2010/1/16,,,#DIV/0!,0
2010/1/17,,,#DIV/0!,0
2010/1/18,,,#DIV/0!,0
2010/1/19,,,#DIV/0!,0
2010/1/20,,,#DIV/0!,0
2010/1/21,,,#DIV/0!,0
2010/1/22,,,#DIV/0!,0
2010/1/23,,,#DIV/0!,0
2010/1/24,,,#DIV/0!,0
2010/1/25,,,#DIV/0!,0
2010/1/26,,,#DIV/0!,0
2010/1/27,,,#DIV/0!,0
2010/1/28,,,#DIV/0!,0
2010/1/29,,,#DIV/0!,0
2010/1/30,,,#DIV/0!,0
2010/1/31,,,#DIV/0!,0
2010/2/1,,,#DIV/0!,0
2010/2/2,,,#DIV/0!,0
2010/2/3,,,#DIV/0!,0
2010/2/4,,,#DIV/0!,0
2010/2/5,,,#DIV/0!,0
2010/2/6,,,#DIV/0!,0
2010/2/7,,,#DIV/0!,0
2010/2/8,,,#DIV/0!,0
2010/2/9,,,#DIV/0!,0
2010/2/10,,,#DIV/0!,0
2010/2/11,,,#DIV/0!,0
2010/2/12,,,#DIV/0!,0
2010/2/13,,,#DIV/0!,0
2010/2/14,,,#DIV/0!,0
2010/2/15,,,#DIV/0!,0
2010/2/16,,,#DIV/0!,0
2010/2/17,,,#DIV/0!,0
2010/2/18,,,#DIV/0!,0
2010/2/19,,,#DIV/0!,0
2010/2/20,,,#DIV/0!,0
2010/2/21,,,#DIV/0!,0
2010/2/22,,,#DIV/0!,0
2010/2/23,,,#DIV/0!,0
2010/2/24,,,#DIV/0!,0
2010/2/25,,,#DIV/0!,0
2010/2/26,,,#DIV/0!,0
2010/2/27,,,#DIV/0!,0
2010/2/28,,,#DIV/0!,0
2010/3/1,,,#DIV/0!,0
2010/3/2,,,#DIV/0!,0
2010/3/3,,,#DIV/0!,0
2010/3/4,,,#DIV/0!,0
2010/3/5,,,#DIV/0!,0
2010/3/6,,,#DIV/0!,0
2010/3/7,,,#DIV/0!,0
2010/3/8,,,#DIV/0!,0
2010/3/9,,,#DIV/0!,0
2010/3/10,,,#DIV/0!,0
2010/3/11,,,#DIV/0!,0
2010/3/12,,,#DIV/0!,0
2010/3/13,,,#DIV/0!,0
2010/3/14,,,#DIV/0!,0
2010/3/15,,,#DIV/0!,0
2010/3/16,,,#DIV/0!,0
2010/3/17,,,#DIV/0!,0
2010/3/18,,,#DIV/0!,0
2010/3/19,,,#DIV/0!,0
2010/3/20,,,#DIV/0!,0
2010/3/21,,,#DIV/0!,0
2010/3/22,,,#DIV/0!,0
2010/3/23,,,#DIV/0!,0
2010/3/24,,,#DIV/0!,0
2010/3/25,,,#DIV/0!,0
2010/3/26,,,#DIV/0!,0
2010/3/27,,,#DIV/0!,0
2010/3/28,,,#DIV/0!,0
2010/3/29,,,#DIV/0!,0
2010/3/30,,,#DIV/0!,0
2010/3/31,,,#DIV/0!,0
2010/4/1,,,#DIV/0!,0
2010/4/2,,,#DIV/0!,0
2010/4/3,,,#DIV/0!,0
2010/4/4,,,#DIV/0!,0
2010/4/5,,,#DIV/0!,0
2010/4/6,,,#DIV/0!,0
2010/4/7,,,#DIV/0!,0
2010/4/8,,,#DIV/0!,0
2010/4/9,,,#DIV/0!,0
2010/4/10,,,#DIV/0!,0
2010/4/11,,,#DIV/0!,0
2010/4/12,,,#DIV/0!,0
2010/4/13,,,#DIV/0!,0
2010/4/14,,,#DIV/0!,0
2010/4/15,,,#DIV/0!,0
2010/4/16,,,#DIV/0!,0
2010/4/17,,,#DIV/0!,0
2010/4/18,,,#DIV/0!,0
2010/4/19,,,#DIV/0!,0
2010/4/20,,,#DIV/0!,0
2010/4/21,,,#DIV/0!,0
2010/4/22,,,#DIV/0!,0
2010/4/23,,,#DIV/0!,0
2010/4/24,,,#DIV/0!,0
2010/4/25,,,#DIV/0!,0
2010/4/26,,,#DIV/0!,0
2010/4/27,,,#DIV/0!,0
2010/4/28,,,#DIV/0!,0
2010/4/29,,,#DIV/0!,0
2010/4/30,,,#DIV/0!,0
2010/5/1,-1.551927464,-0.327827584,191.9277525,1.586174574
2010/5/2,-3.07057092,-1.060573271,199.0548804,3.248572215
2010/5/3,0.801109827,-0.485908484,328.7613389,0.936954647
2010/5/4,0.387287914,-0.427149018,312.1980003,0.576583222
2010/5/5,-1.996904765,-1.367458155,214.402909,2.420241816
2010/5/6,-1.866672117,-1.298006338,214.8131489,2.27360622
2010/5/7,-0.013005005,-0.812191497,269.0826446,0.81229561
2010/5/8,-0.170776018,-0.767105868,257.4492686,0.7858854
2010/5/9,-2.545173399,-1.908943423,216.8708107,3.181504774
2010/5/10,-0.653943576,-3.665755169,259.8852584,3.723627688
2010/5/11,0.797376896,-4.849669507,279.336965,4.914784252
2010/5/12,0.50110926,-0.81946561,301.4460933,0.960538587
2010/5/13,-0.245931069,-1.284852675,259.1641919,1.308177544
2010/5/14,-1.487834385,-1.271731895,220.522288,1.957282087
2010/5/15,0.403133653,-1.542851435,284.6434955,1.594649583
2010/5/16,-0.619498567,-1.316288605,244.7964305,1.454783203
2010/5/17,-2.183675207,-1.588703189,216.037253,2.700447228
2010/5/18,-0.046474792,-1.938894971,268.6268985,1.939451886
2010/5/19,1.486991028,-2.377211597,302.0267619,2.803975267
2010/5/20,-0.04011093,-0.95900299,267.6049623,0.959841456
2010/5/21,-2.706314244,-1.173663236,203.4452149,2.949851213
2010/5/22,-3.064246809,-2.06515426,213.978066,3.695195614
2010/5/23,-0.692667674,-6.927471444,264.2900576,6.962014731
2010/5/24,-0.701470494,-1.035871186,235.894957,1.251035558
2010/5/25,0.986786734,-1.826190219,298.3846879,2.075745353
2010/5/26,1.848727385,-1.732679534,316.8558982,2.53376623
2010/5/27,0.135711557,-1.619195674,274.791001,1.624872997
2010/5/28,2.766794362,-2.701330178,315.6859102,3.866825025
2010/5/29,0.166530657,-0.414601707,291.8835613,0.446796414
2010/5/30,-2.567329957,-1.468398614,209.7676374,2.957596591
2010/5/31,-3.380481077,-1.492907575,203.8274889,3.695460098
2010/6/1,,,#DIV/0!,0
2010/6/2,,,#DIV/0!,0
2010/6/3,,,#DIV/0!,0
2010/6/4,,,#DIV/0!,0
2010/6/5,,,#DIV/0!,0
2010/6/6,,,#DIV/0!,0
2010/6/7,,,#DIV/0!,0
2010/6/8,,,#DIV/0!,0
2010/6/9,,,#DIV/0!,0
2010/6/10,,,#DIV/0!,0
2010/6/11,,,#DIV/0!,0
2010/6/12,,,#DIV/0!,0
2010/6/13,,,#DIV/0!,0
2010/6/14,,,#DIV/0!,0
2010/6/15,,,#DIV/0!,0
2010/6/16,,,#DIV/0!,0
2010/6/17,,,#DIV/0!,0
2010/6/18,,,#DIV/0!,0
2010/6/19,,,#DIV/0!,0
2010/6/20,,,#DIV/0!,0
2010/6/21,,,#DIV/0!,0
2010/6/22,,,#DIV/0!,0
2010/6/23,,,#DIV/0!,0
2010/6/24,,,#DIV/0!,0
2010/6/25,,,#DIV/0!,0
2010/6/26,,,#DIV/0!,0
2010/6/27,,,#DIV/0!,0
2010/6/28,,,#DIV/0!,0
2010/6/29,,,#DIV/0!,0
2010/6/30,,,#DIV/0!,0
2010/7/1,,,#DIV/0!,0
2010/7/2,,,#DIV/0!,0
2010/7/3,,,#DIV/0!,0
2010/7/4,,,#DIV/0!,0
2010/7/5,,,#DIV/0!,0
2010/7/6,,,#DIV/0!,0
2010/7/7,,,#DIV/0!,0
2010/7/8,,,#DIV/0!,0
2010/7/9,,,#DIV/0!,0
2010/7/10,,,#DIV/0!,0
2010/7/11,,,#DIV/0!,0
2010/7/12,,,#DIV/0!,0
2010/7/13,,,#DIV/0!,0
2010/7/14,,,#DIV/0!,0
2010/7/15,,,#DIV/0!,0
2010/7/16,,,#DIV/0!,0
2010/7/17,,,#DIV/0!,0
2010/7/18,,,#DIV/0!,0
2010/7/19,,,#DIV/0!,0
2010/7/20,,,#DIV/0!,0
2010/7/21,,,#DIV/0!,0
2010/7/22,,,#DIV/0!,0
2010/7/23,,,#DIV/0!,0
2010/7/24,,,#DIV/0!,0
2010/7/25,,,#DIV/0!,0
2010/7/26,,,#DIV/0!,0
2010/7/27,,,#DIV/0!,0
2010/7/28,,,#DIV/0!,0
2010/7/29,,,#DIV/0!,0
2010/7/30,,,#DIV/0!,0
2010/7/31,,,#DIV/0!,0
2010/8/1,0.098614199,-1.011623769,275.5676645,1.016418915
2010/8/2,1.694761953,-1.426456909,319.9131603,2.215174347
2010/8/3,1.848646224,-1.239772092,326.1526997,2.225876839
2010/8/4,0.481913407,-1.594474168,286.8169017,1.66570958
2010/8/5,0.093732518,-1.68664327,273.18085,1.68924578
2010/8/6,0.053174033,-1.55349839,271.9603874,1.55440816
2010/8/7,-0.188551915,-1.754597903,263.8664412,1.764699869
2010/8/8,-0.986541187,-1.465978788,236.0611286,1.767019332
2010/8/9,1.146672981,-0.71698569,327.9832971,1.352378425
2010/8/10,1.514212171,-1.602046812,313.3854929,2.204402978
2010/8/11,1.202596106,-2.07348561,300.1132049,2.396993944
2010/8/12,2.266739516,-1.552871936,325.5861837,2.747638856
2010/8/13,2.827216214,-1.526813349,331.6291243,3.213146514
2010/8/14,3.255646842,-1.175364181,340.1492395,3.461317281
2010/8/15,3.213411747,-0.622884368,349.0298912,3.273224709
2010/8/16,0.864423631,-0.593724062,325.5170129,1.04868321
2010/8/17,0.245655168,-0.708287305,289.1280717,0.749678176
2010/8/18,0.904288678,-0.164567031,349.6858982,0.919141078
2010/8/19,1.128942039,-0.386666832,341.093478,1.193323664
2010/8/20,1.624460004,-0.640237213,338.4894547,1.74607388
2010/8/21,1.939738141,-0.470343646,346.370101,1.995947695
2010/8/22,1.511777004,-0.419869659,344.4782956,1.568999758
2010/8/23,0.587550174,-0.285572965,334.078388,0.653274158
2010/8/24,0.617612652,-0.269078111,336.4584688,0.673682728
2010/8/25,1.795271227,-0.297363832,350.5950732,1.819731856
2010/8/26,2.268809919,-0.179351349,355.4801193,2.275887817
2010/8/27,-0.549152512,-1.526329996,250.2119674,1.622113356
2010/8/28,-3.327563364,-1.14649169,199.0110785,3.519534222
2010/8/29,-1.475213605,-1.189062076,218.8697539,1.894762202
2010/8/30,0.072805163,-2.262224765,271.8433134,2.263396006
2010/8/31,0.495147276,-0.674149821,306.2964117,0.836450122
2010/9/1,1.553822139,-0.868880254,330.7865594,1.780257323
2010/9/2,1.994391892,-0.861080958,336.6476731,2.172339622
2010/9/3,2.604169677,-0.246414024,354.5946026,2.615801899
2010/9/4,1.339618687,-0.319763279,346.5748651,1.377253347
2010/9/5,-0.293978429,-0.966736195,253.0858116,1.010446529
2010/9/6,-4.155059072,-0.778990212,190.6185448,4.227450963
2010/9/7,-2.608815168,-0.930048018,199.6212565,2.76964003
2010/9/8,-1.121044203,-1.656386302,235.9098118,2.00008892
2010/9/9,0.615888584,-2.196760436,285.6614884,2.281463381
2010/9/10,0.476194613,-0.399724067,319.989457,0.621723925
2010/9/11,1.921026308,-0.778065069,337.9507864,2.072613646
2010/9/12,2.904018472,-1.206965524,337.4312967,3.144851199
2010/9/13,2.376520584,-0.592785084,345.9942813,2.449335469
2010/9/14,1.449033493,-0.445474678,342.9110624,1.515963638
2010/9/15,1.967271116,-0.880947514,335.8770797,2.155510187
2010/9/16,1.122307746,-0.266819355,346.6266731,1.153588854
2010/9/17,0.308056366,-0.440095155,304.9911252,0.537198725
2010/9/18,1.879658151,-0.84043561,335.9095539,2.05899169
2010/9/19,2.48171486,-0.93763193,339.3026258,2.652934655
